456,456
498,498
811,811
37,2132
982,982
706,706
565,565
520,520
962,962
816,816
86,67945
440,440
579,579
554,554
484,484
967,967
534,534
387,387
714,714
781,781
911,911
531,531
833,833
794,794
923,923
647,647
906,906
461,461
910,910
598,598
524,524
655,655
875,875
668,668
857,857
883,883
527,527
393,393
877,877
627,627
472,472
817,817
683,683
478,478
504,504
787,787
766,766
763,763
552,552
730,730
382,382
642,642
662,662
399,399
773,773
731,731
931,931
512,512
424,424
494,494
546,546
671,671
915,915
842,842
721,721
664,664
828,828
487,487
960,960
10,84382
558,558
630,630
892,892
685,685
936,936
746,746
893,893
812,812
659,659
561,561
718,718
779,779
562,562
654,654
985,985
612,612
813,813
976,976
433,433
782,782
581,581
426,426
739,739
700,700
667,667
736,736
902,902
864,864
711,711
926,926
760,760
535,535
643,643
884,884
396,396
501,501
755,755
489,489
408,408
693,693
500,500
851,851
735,735
629,629
945,945
407,407
380,380
596,596
653,653
606,606
416,416
421,421
832,832
757,757
459,459
682,682
410,410
462,462
490,490
413,413
428,428
754,754
792,792
415,415
445,445
803,803
617,617
825,825
680,680
929,929
425,425
776,776
394,394
950,950
673,673
844,844
868,868
946,946
774,774
555,555
592,592
515,515
733,733
585,585
477,477
822,822
434,434
645,645
602,602
409,409
765,765
768,768
860,860
690,690
881,881
423,423
914,914
853,853
786,786
724,724
674,674
930,930
759,759
447,447
697,697
917,917
488,488
605,605
676,676
641,641
486,486
569,569
616,616
717,717
566,566
878,878
859,859
476,476
412,412
797,797
855,855
441,441
543,543
560,560
583,583
666,666
669,669
582,582
775,775
503,503
